
Epoch 1/10, Train Loss: 0.2253, Test Loss: 0.0710, Test Accuracy: 0.9774, Epoch Time: 10.35 seconds
Epoch 2/10, Train Loss: 0.0707, Test Loss: 0.0469, Test Accuracy: 0.9838, Epoch Time: 10.00 seconds
Epoch 3/10, Train Loss: 0.0498, Test Loss: 0.0412, Test Accuracy: 0.9874, Epoch Time: 9.77 seconds
Epoch 4/10, Train Loss: 0.0383, Test Loss: 0.0430, Test Accuracy: 0.9863, Epoch Time: 8.98 seconds
Epoch 5/10, Train Loss: 0.0312, Test Loss: 0.0435, Test Accuracy: 0.9864, Epoch Time: 8.93 seconds
Epoch 6/10, Train Loss: 0.0260, Test Loss: 0.0428, Test Accuracy: 0.9866, Epoch Time: 9.05 seconds
Epoch 7/10, Train Loss: 0.0218, Test Loss: 0.0405, Test Accuracy: 0.9878, Epoch Time: 9.92 seconds
Epoch 8/10, Train Loss: 0.0179, Test Loss: 0.0477, Test Accuracy: 0.9872, Epoch Time: 9.68 seconds
Epoch 9/10, Train Loss: 0.0164, Test Loss: 0.0422, Test Accuracy: 0.9879, Epoch Time: 9.46 seconds
Epoch 10/10, Train Loss: 0.0140, Test Loss: 0.0422, Test Accuracy: 0.9889, Epoch Time: 9.35 seconds
